,order,Data,Time,Home,Score,Away,Venue,Season,Home Score,Away Score,Date
711,711,Sat 31 May,15:30,Gloucester,3-39,London Wasps,Twickenham Stadium,2002-2003,3,39,Sat 31 May 2003
712,712,Fri 12 Sep,19:45,Sale Sharks,37-37,Northampton Saints,Edgeley Park,2003-2004,37,37,Fri 12 Sep 2003
713,713,Sat 13 Sep,14:45,NEC Harlequins,33-27,London Wasps,Twickenham Stoop,2003-2004,33,27,Sat 13 Sep 2003
714,714,Sat 13 Sep,15:00,Gloucester,22-8,Rotherham Titans,Kingsholm,2003-2004,22,8,Sat 13 Sep 2003
715,715,Sat 13 Sep,15:00,Leicester Tigers,29-19,London Irish,Welford Road,2003-2004,29,19,Sat 13 Sep 2003
716,716,Sun 14 Sep,14:30,Leeds Tykes,32-44,Bath Rugby,Headingley Carnegie,2003-2004,32,44,Sun 14 Sep 2003
717,717,Sun 14 Sep,15:00,Newcastle Falcons,20-25,Saracens,Kingston Park,2003-2004,20,25,Sun 14 Sep 2003
718,718,Sat 20 Sep,14:15,Bath Rugby,24-6,Northampton Saints,Recreation Ground,2003-2004,24,6,Sat 20 Sep 2003
719,719,Sat 20 Sep,14:45,Rotherham Titans,15-43,NEC Harlequins,Millmoor,2003-2004,15,43,Sat 20 Sep 2003
720,720,Sun 21 Sep,15:00,London Irish,16-10,Gloucester,Madejski Stadium,2003-2004,16,10,Sun 21 Sep 2003
721,721,Sun 21 Sep,15:00,London Wasps,33-10,Leeds Tykes,Adams Park,2003-2004,33,10,Sun 21 Sep 2003
722,722,Sun 21 Sep,15:00,Newcastle Falcons,9-8,Sale Sharks,Kingston Park,2003-2004,9,8,Sun 21 Sep 2003
723,723,Sun 21 Sep,15:00,Saracens,19-19,Leicester Tigers,Vicarage Road,2003-2004,19,19,Sun 21 Sep 2003
724,724,Fri 26 Sep,19:45,Leicester Tigers,28-21,Newcastle Falcons,Welford Road,2003-2004,28,21,Fri 26 Sep 2003
725,725,Fri 26 Sep,19:45,Sale Sharks,9-14,Bath Rugby,Edgeley Park,2003-2004,9,14,Fri 26 Sep 2003
726,726,Fri 26 Sep,20:00,Leeds Tykes,23-13,Rotherham Titans,Headingley Carnegie,2003-2004,23,13,Fri 26 Sep 2003
727,727,Sat 27 Sep,14:45,Gloucester,30-7,Saracens,Kingsholm,2003-2004,30,7,Sat 27 Sep 2003
728,728,Sat 27 Sep,15:00,NEC Harlequins,15-10,London Irish,Twickenham Stoop,2003-2004,15,10,Sat 27 Sep 2003
729,729,Sat 27 Sep,15:00,Northampton Saints,27-17,London Wasps,Franklin's Gardens,2003-2004,27,17,Sat 27 Sep 2003
730,730,Sat 4 Oct,14:45,Leicester Tigers,16-22,Sale Sharks,Welford Road,2003-2004,16,22,Sat 4 Oct 2003
731,731,Sat 4 Oct,15:00,Rotherham Titans,13-42,Northampton Saints,Millmoor,2003-2004,13,42,Sat 4 Oct 2003
732,732,Sun 5 Oct,14:00,London Wasps,19-20,Bath Rugby,Adams Park,2003-2004,19,20,Sun 5 Oct 2003
733,733,Sun 5 Oct,15:00,London Irish,31-16,Leeds Tykes,Madejski Stadium,2003-2004,31,16,Sun 5 Oct 2003
734,734,Sun 5 Oct,15:00,Newcastle Falcons,42-22,Gloucester,Kingston Park,2003-2004,42,22,Sun 5 Oct 2003
735,735,Sun 5 Oct,15:00,Saracens,39-33,NEC Harlequins,Vicarage Road,2003-2004,39,33,Sun 5 Oct 2003
736,736,Fri 10 Oct,19:45,Sale Sharks,33-37,London Wasps,Edgeley Park,2003-2004,33,37,Fri 10 Oct 2003
737,737,Sat 11 Oct,14:15,Bath Rugby,47-3,Rotherham Titans,Recreation Ground,2003-2004,47,3,Sat 11 Oct 2003
738,738,Sat 11 Oct,14:45,Gloucester,24-3,Leicester Tigers,Kingsholm,2003-2004,24,3,Sat 11 Oct 2003
739,739,Sat 11 Oct,15:00,NEC Harlequins,18-11,Newcastle Falcons,Twickenham Stoop,2003-2004,18,11,Sat 11 Oct 2003
740,740,Sat 11 Oct,15:00,Northampton Saints,24-30,London Irish,Franklin's Gardens,2003-2004,24,30,Sat 11 Oct 2003
741,741,Sun 12 Oct,15:00,Leeds Tykes,41-31,Saracens,Headingley Carnegie,2003-2004,41,31,Sun 12 Oct 2003
742,742,Fri 17 Oct,19:45,Rotherham Titans,14-28,Sale Sharks,Millmoor,2003-2004,14,28,Fri 17 Oct 2003
743,743,Sat 18 Oct,15:30,NEC Harlequins,0-16,Gloucester,Twickenham Stoop,2003-2004,0,16,Sat 18 Oct 2003
744,744,Sat 18 Oct,16:00,Northampton Saints,33-20,Newcastle Falcons,Franklin's Gardens,2003-2004,33,20,Sat 18 Oct 2003
745,745,Sun 19 Oct,14:00,Bath Rugby,25-3,Saracens,Recreation Ground,2003-2004,25,3,Sun 19 Oct 2003
746,746,Sun 19 Oct,14:30,Leeds Tykes,39-18,Leicester Tigers,Headingley Carnegie,2003-2004,39,18,Sun 19 Oct 2003
747,747,Sun 19 Oct,15:00,London Wasps,22-15,London Irish,Adams Park,2003-2004,22,15,Sun 19 Oct 2003
748,748,Sat 25 Oct,14:45,Newcastle Falcons,19-17,Bath Rugby,Kingston Park,2003-2004,19,17,Sat 25 Oct 2003
749,749,Sat 25 Oct,15:00,Gloucester,24-19,Leeds Tykes,Kingsholm,2003-2004,24,19,Sat 25 Oct 2003
750,750,Sat 25 Oct,15:00,Leicester Tigers,15-32,Northampton Saints,Welford Road,2003-2004,15,32,Sat 25 Oct 2003
751,751,Sat 25 Oct,15:00,NEC Harlequins,21-30,Sale Sharks,Twickenham Stoop,2003-2004,21,30,Sat 25 Oct 2003
752,752,Sun 26 Oct,15:00,London Irish,47-26,Rotherham Titans,Madejski Stadium,2003-2004,47,26,Sun 26 Oct 2003
753,753,Sun 26 Oct,15:00,Saracens,3-42,London Wasps,Vicarage Road,2003-2004,3,42,Sun 26 Oct 2003
754,754,Fri 31 Oct,19:45,Sale Sharks,26-28,London Irish,Edgeley Park,2003-2004,26,28,Fri 31 Oct 2003
755,755,Fri 31 Oct,20:00,Leeds Tykes,16-30,NEC Harlequins,Headingley Carnegie,2003-2004,16,30,Fri 31 Oct 2003
756,756,Sat 1 Nov,14:15,Bath Rugby,31-17,Leicester Tigers,Recreation Ground,2003-2004,31,17,Sat 1 Nov 2003
757,757,Sat 1 Nov,14:45,Northampton Saints,30-17,Gloucester,Franklin's Gardens,2003-2004,30,17,Sat 1 Nov 2003
758,758,Sat 1 Nov,15:00,Rotherham Titans,12-25,Saracens,Millmoor,2003-2004,12,25,Sat 1 Nov 2003
759,759,Sun 2 Nov,15:00,London Wasps,30-26,Newcastle Falcons,Adams Park,2003-2004,30,26,Sun 2 Nov 2003
760,760,Sat 8 Nov,14:45,Sale Sharks,37-21,Leeds Tykes,Edgeley Park,2003-2004,37,21,Sat 8 Nov 2003
761,761,Sat 8 Nov,15:00,Gloucester,14-20,Bath Rugby,Kingsholm,2003-2004,14,20,Sat 8 Nov 2003
762,762,Sat 8 Nov,15:00,Leicester Tigers,32-22,London Wasps,Welford Road,2003-2004,32,22,Sat 8 Nov 2003
763,763,Sat 8 Nov,15:00,NEC Harlequins,43-21,Northampton Saints,Twickenham Stoop,2003-2004,43,21,Sat 8 Nov 2003
764,764,Sun 9 Nov,15:00,Newcastle Falcons,56-10,Rotherham Titans,Kingston Park,2003-2004,56,10,Sun 9 Nov 2003
765,765,Sun 9 Nov,15:00,Saracens,31-34,London Irish,Vicarage Road,2003-2004,31,34,Sun 9 Nov 2003
766,766,Fri 21 Nov,19:45,London Wasps,20-12,Gloucester,Adams Park,2003-2004,20,12,Fri 21 Nov 2003
767,767,Fri 21 Nov,19:45,Sale Sharks,33-3,Saracens,Edgeley Park,2003-2004,33,3,Fri 21 Nov 2003
768,768,Sat 22 Nov,14:15,Bath Rugby,18-10,NEC Harlequins,Recreation Ground,2003-2004,18,10,Sat 22 Nov 2003
769,769,Sat 22 Nov,15:00,Northampton Saints,48-24,Leeds Tykes,Franklin's Gardens,2003-2004,48,24,Sat 22 Nov 2003
770,770,Sat 22 Nov,16:00,Rotherham Titans,17-27,Leicester Tigers,Millmoor,2003-2004,17,27,Sat 22 Nov 2003
771,771,Sun 23 Nov,15:00,London Irish,15-19,Newcastle Falcons,Madejski Stadium,2003-2004,15,19,Sun 23 Nov 2003
772,772,Sat 29 Nov,14:45,Newcastle Falcons,20-23,London Wasps,Kingston Park,2003-2004,20,23,Sat 29 Nov 2003
773,773,Sat 29 Nov,15:00,Gloucester,28-20,Northampton Saints,Kingsholm,2003-2004,28,20,Sat 29 Nov 2003
774,774,Sat 29 Nov,15:00,Leicester Tigers,12-13,Bath Rugby,Welford Road,2003-2004,12,13,Sat 29 Nov 2003
775,775,Sat 29 Nov,15:00,NEC Harlequins,9-16,Leeds Tykes,Twickenham Stoop,2003-2004,9,16,Sat 29 Nov 2003
776,776,Sun 30 Nov,15:00,London Irish,9-3,Sale Sharks,Madejski Stadium,2003-2004,9,3,Sun 30 Nov 2003
777,777,Sun 30 Nov,15:00,Saracens,29-10,Rotherham Titans,Vicarage Road,2003-2004,29,10,Sun 30 Nov 2003
778,778,Fri 19 Dec,19:45,Sale Sharks,27-27,NEC Harlequins,Edgeley Park,2003-2004,27,27,Fri 19 Dec 2003
779,779,Sat 20 Dec,13:00,Rotherham Titans,10-15,London Irish,Millmoor,2003-2004,10,15,Sat 20 Dec 2003
780,780,Sat 20 Dec,14:15,Bath Rugby,20-10,Newcastle Falcons,Recreation Ground,2003-2004,20,10,Sat 20 Dec 2003
781,781,Sat 20 Dec,14:45,Northampton Saints,14-0,Leicester Tigers,Franklin's Gardens,2003-2004,14,0,Sat 20 Dec 2003
782,782,Sun 21 Dec,14:30,Leeds Tykes,22-18,Gloucester,Headingley Carnegie,2003-2004,22,18,Sun 21 Dec 2003
783,783,Sun 21 Dec,15:00,London Wasps,41-0,Saracens,Adams Park,2003-2004,41,0,Sun 21 Dec 2003
784,784,Sat 27 Dec,15:00,Gloucester,18-17,NEC Harlequins,Kingsholm,2003-2004,18,17,Sat 27 Dec 2003
785,785,Sat 27 Dec,15:00,Leicester Tigers,39-11,Leeds Tykes,Welford Road,2003-2004,39,11,Sat 27 Dec 2003
786,786,Sat 27 Dec,15:00,Sale Sharks,35-7,Rotherham Titans,Edgeley Park,2003-2004,35,7,Sat 27 Dec 2003
787,787,Sat 27 Dec,15:00,Saracens,15-24,Bath Rugby,Vicarage Road,2003-2004,15,24,Sat 27 Dec 2003
788,788,Sat 27 Dec,15:15,London Irish,19-34,London Wasps,Madejski Stadium,2003-2004,19,34,Sat 27 Dec 2003
789,789,Sun 28 Dec,14:30,Newcastle Falcons,23-19,Northampton Saints,Kingston Park,2003-2004,23,19,Sun 28 Dec 2003
790,790,Thu 1 Jan,15:00,Saracens,27-3,Leeds Tykes,Vicarage Road,2003-2004,27,3,Thu 1 Jan 2004
791,791,Sat 3 Jan,14:45,Leicester Tigers,18-28,Gloucester,Welford Road,2003-2004,18,28,Sat 3 Jan 2004
792,792,Sun 4 Jan,14:30,Newcastle Falcons,25-29,NEC Harlequins,Kingston Park,2003-2004,25,29,Sun 4 Jan 2004
793,793,Sun 4 Jan,15:00,London Irish,15-36,Northampton Saints,Madejski Stadium,2003-2004,15,36,Sun 4 Jan 2004
794,794,Sun 4 Jan,15:00,London Wasps,26-10,Sale Sharks,Adams Park,2003-2004,26,10,Sun 4 Jan 2004
795,795,Sun 4 Jan,15:00,Rotherham Titans,18-34,Bath Rugby,Millmoor,2003-2004,18,34,Sun 4 Jan 2004
796,796,Fri 6 Feb,19:45,Sale Sharks,3-3,Leicester Tigers,Edgeley Park,2003-2004,3,3,Fri 6 Feb 2004
797,797,Fri 6 Feb,20:00,Leeds Tykes,9-16,London Irish,Headingley Carnegie,2003-2004,9,16,Fri 6 Feb 2004
798,798,Sat 7 Feb,14:40,Bath Rugby,6-10,London Wasps,Recreation Ground,2003-2004,6,10,Sat 7 Feb 2004
799,799,Sat 7 Feb,15:00,Gloucester,36-12,Newcastle Falcons,Kingsholm,2003-2004,36,12,Sat 7 Feb 2004
800,800,Sat 7 Feb,15:00,NEC Harlequins,12-10,Saracens,Twickenham Stoop,2003-2004,12,10,Sat 7 Feb 2004
801,801,Sat 7 Feb,15:00,Northampton Saints,18-8,Rotherham Titans,Franklin's Gardens,2003-2004,18,8,Sat 7 Feb 2004
802,802,Sat 14 Feb,15:00,Rotherham Titans,20-27,London Wasps,Millmoor,2003-2004,20,27,Sat 14 Feb 2004
803,803,Sat 14 Feb,18:00,Gloucester,38-12,Sale Sharks,Kingsholm,2003-2004,38,12,Sat 14 Feb 2004
804,804,Sun 15 Feb,13:00,Saracens,18-22,Northampton Saints,Vicarage Road,2003-2004,18,22,Sun 15 Feb 2004
805,805,Sun 15 Feb,13:30,Newcastle Falcons,25-28,Leeds Tykes,Kingston Park,2003-2004,25,28,Sun 15 Feb 2004
806,806,Sat 21 Feb,14:15,Bath Rugby,22-13,Leeds Tykes,Recreation Ground,2003-2004,22,13,Sat 21 Feb 2004
807,807,Sat 21 Feb,14:30,London Irish,9-22,Leicester Tigers,Madejski Stadium,2003-2004,9,22,Sat 21 Feb 2004
808,808,Sat 21 Feb,15:00,Northampton Saints,51-12,Sale Sharks,Franklin's Gardens,2003-2004,51,12,Sat 21 Feb 2004
809,809,Sun 22 Feb,15:00,Rotherham Titans,21-35,Gloucester,Millmoor,2003-2004,21,35,Sun 22 Feb 2004
810,810,Sun 22 Feb,15:00,Saracens,32-27,Newcastle Falcons,Vicarage Road,2003-2004,32,27,Sun 22 Feb 2004
811,811,Sun 22 Feb,18:00,London Wasps,22-21,NEC Harlequins,Adams Park,2003-2004,22,21,Sun 22 Feb 2004
812,812,Fri 19 Mar,19:45,Leicester Tigers,30-21,NEC Harlequins,Welford Road,2003-2004,30,21,Fri 19 Mar 2004
813,813,Sun 21 Mar,15:00,London Irish,20-21,Bath Rugby,Madejski Stadium,2003-2004,20,21,Sun 21 Mar 2004
814,814,Fri 26 Mar,19:45,Sale Sharks,38-20,Gloucester,Edgeley Park,2003-2004,38,20,Fri 26 Mar 2004
815,815,Sat 27 Mar,14:15,Bath Rugby,23-21,London Irish,Recreation Ground,2003-2004,23,21,Sat 27 Mar 2004
816,816,Sat 27 Mar,15:00,NEC Harlequins,20-23,Leicester Tigers,Twickenham Stoop,2003-2004,20,23,Sat 27 Mar 2004
817,817,Sat 27 Mar,15:00,Northampton Saints,24-3,Saracens,Franklin's Gardens,2003-2004,24,3,Sat 27 Mar 2004
818,818,Sun 28 Mar,14:30,Leeds Tykes,30-30,Newcastle Falcons,Headingley Carnegie,2003-2004,30,30,Sun 28 Mar 2004
819,819,Sun 28 Mar,15:00,London Wasps,39-11,Rotherham Titans,Adams Park,2003-2004,39,11,Sun 28 Mar 2004
820,820,Fri 2 Apr,19:45,Rotherham Titans,20-34,Leeds Tykes,Millmoor,2003-2004,20,34,Fri 2 Apr 2004
821,821,Sat 3 Apr,14:15,Bath Rugby,16-12,Sale Sharks,Recreation Ground,2003-2004,16,12,Sat 3 Apr 2004
822,822,Sat 3 Apr,14:45,Saracens,8-16,Gloucester,Vicarage Road,2003-2004,8,16,Sat 3 Apr 2004
823,823,Sun 4 Apr,15:00,London Irish,15-15,NEC Harlequins,Madejski Stadium,2003-2004,15,15,Sun 4 Apr 2004
824,824,Sun 4 Apr,15:00,London Wasps,31-5,Northampton Saints,Adams Park,2003-2004,31,5,Sun 4 Apr 2004
825,825,Sun 4 Apr,15:00,Newcastle Falcons,25-25,Leicester Tigers,Kingston Park,2003-2004,25,25,Sun 4 Apr 2004
826,826,Fri 16 Apr,19:45,Leicester Tigers,38-10,Saracens,Welford Road,2003-2004,38,10,Fri 16 Apr 2004
827,827,Fri 16 Apr,19:45,NEC Harlequins,43-20,Rotherham Titans,Twickenham Stoop,2003-2004,43,20,Fri 16 Apr 2004
828,828,Sun 18 Apr,14:00,Northampton Saints,16-6,Bath Rugby,Franklin's Gardens,2003-2004,16,6,Sun 18 Apr 2004
829,829,Sun 18 Apr,14:30,Leeds Tykes,7-11,London Wasps,Headingley Carnegie,2003-2004,7,11,Sun 18 Apr 2004
830,830,Sun 18 Apr,16:00,Gloucester,28-13,London Irish,Kingsholm,2003-2004,28,13,Sun 18 Apr 2004
831,831,Fri 23 Apr,19:45,Sale Sharks,41-16,Newcastle Falcons,Edgeley Park,2003-2004,41,16,Fri 23 Apr 2004
832,832,Sat 1 May,14:45,Gloucester,28-25,London Wasps,Kingsholm,2003-2004,28,25,Sat 1 May 2004
833,833,Sat 1 May,15:00,Leicester Tigers,75-13,Rotherham Titans,Welford Road,2003-2004,75,13,Sat 1 May 2004
834,834,Sun 2 May,14:00,NEC Harlequins,25-22,Bath Rugby,Twickenham Stoop,2003-2004,25,22,Sun 2 May 2004
835,835,Sun 2 May,14:30,Leeds Tykes,15-31,Northampton Saints,Headingley Carnegie,2003-2004,15,31,Sun 2 May 2004
836,836,Sun 2 May,15:00,Newcastle Falcons,15-16,London Irish,Kingston Park,2003-2004,15,16,Sun 2 May 2004
837,837,Sun 2 May,15:00,Saracens,39-23,Sale Sharks,Vicarage Road,2003-2004,39,23,Sun 2 May 2004
838,838,Sat 8 May,15:00,Bath Rugby,41-7,Gloucester,Recreation Ground,2003-2004,41,7,Sat 8 May 2004
839,839,Sat 8 May,15:00,Leeds Tykes,20-31,Sale Sharks,Headingley Carnegie,2003-2004,20,31,Sat 8 May 2004
840,840,Sat 8 May,15:00,London Irish,14-20,Saracens,Madejski Stadium,2003-2004,14,20,Sat 8 May 2004
841,841,Sat 8 May,15:00,London Wasps,17-48,Leicester Tigers,Adams Park,2003-2004,17,48,Sat 8 May 2004
842,842,Sat 8 May,15:00,Northampton Saints,18-17,NEC Harlequins,Franklin's Gardens,2003-2004,18,17,Sat 8 May 2004
843,843,Sat 8 May,15:00,Rotherham Titans,20-26,Newcastle Falcons,Don Valley Stadium,2003-2004,20,26,Sat 8 May 2004
844,844,Sun 16 May,14:00,London Wasps,57-20,Northampton Saints,Adams Park,2003-2004,57,20,Sun 16 May 2004
845,845,Sat 29 May,18:00,Bath Rugby,6-10,London Wasps,Twickenham Stadium,2003-2004,6,10,Sat 29 May 2004
846,846,Sat 4 Sep,14:00,London Irish,18-12,NEC Harlequins,Twickenham Stadium,2004-2005,18,12,Sat 4 Sep 2004
847,847,Sat 4 Sep,15:00,Northampton Saints,29-14,Bath Rugby,Franklin's Gardens,2004-2005,29,14,Sat 4 Sep 2004
848,848,Sat 4 Sep,16:15,Saracens,13-11,London Wasps,Twickenham Stadium,2004-2005,13,11,Sat 4 Sep 2004
849,849,Sun 5 Sep,13:30,Sale Sharks,26-19,Leicester Tigers,Edgeley Park,2004-2005,26,19,Sun 5 Sep 2004
850,850,Sun 5 Sep,14:30,Leeds Tykes,16-21,Gloucester,Headingley Carnegie,2004-2005,16,21,Sun 5 Sep 2004
851,851,Sun 5 Sep,15:30,Worcester Warriors,9-30,Newcastle Falcons,Sixways,2004-2005,9,30,Sun 5 Sep 2004
852,852,Sat 11 Sep,14:15,Bath Rugby,18-33,Newcastle Falcons,Recreation Ground,2004-2005,18,33,Sat 11 Sep 2004
853,853,Sat 11 Sep,14:45,London Wasps,30-33,Sale Sharks,Adams Park,2004-2005,30,33,Sat 11 Sep 2004
854,854,Sat 11 Sep,15:00,Gloucester,23-16,London Irish,Kingsholm,2004-2005,23,16,Sat 11 Sep 2004
855,855,Sat 11 Sep,15:00,Leicester Tigers,42-20,Leeds Tykes,Welford Road,2004-2005,42,20,Sat 11 Sep 2004
856,856,Sat 11 Sep,15:00,NEC Harlequins,13-45,Northampton Saints,Twickenham Stoop,2004-2005,13,45,Sat 11 Sep 2004
857,857,Sun 12 Sep,15:00,Saracens,16-10,Worcester Warriors,Vicarage Road,2004-2005,16,10,Sun 12 Sep 2004
858,858,Fri 17 Sep,19:45,Sale Sharks,25-15,Saracens,Edgeley Park,2004-2005,25,15,Fri 17 Sep 2004
859,859,Sat 18 Sep,14:00,Worcester Warriors,22-26,Bath Rugby,Sixways,2004-2005,22,26,Sat 18 Sep 2004
860,860,Sat 18 Sep,14:45,Northampton Saints,12-18,Gloucester,Franklin's Gardens,2004-2005,12,18,Sat 18 Sep 2004
861,861,Sun 19 Sep,15:00,London Irish,22-39,Leicester Tigers,Madejski Stadium,2004-2005,22,39,Sun 19 Sep 2004
862,862,Sun 19 Sep,15:00,Newcastle Falcons,22-21,NEC Harlequins,Kingston Park,2004-2005,22,21,Sun 19 Sep 2004
863,863,Sun 19 Sep,19:30,Leeds Tykes,9-13,London Wasps,Headingley Carnegie,2004-2005,9,13,Sun 19 Sep 2004
864,864,Fri 24 Sep,19:45,Sale Sharks,57-3,Worcester Warriors,Edgeley Park,2004-2005,57,3,Fri 24 Sep 2004
865,865,Sat 25 Sep,15:00,Gloucester,31-17,Newcastle Falcons,Kingsholm,2004-2005,31,17,Sat 25 Sep 2004
866,866,Sat 25 Sep,15:00,Leicester Tigers,32-13,Northampton Saints,Welford Road,2004-2005,32,13,Sat 25 Sep 2004
867,867,Sat 25 Sep,15:05,NEC Harlequins,10-18,Bath Rugby,Twickenham Stoop,2004-2005,10,18,Sat 25 Sep 2004
868,868,Sun 26 Sep,15:00,London Wasps,35-26,London Irish,Adams Park,2004-2005,35,26,Sun 26 Sep 2004
869,869,Sun 26 Sep,15:00,Saracens,23-29,Leeds Tykes,Vicarage Road,2004-2005,23,29,Sun 26 Sep 2004
870,870,Sat 2 Oct,14:00,Worcester Warriors,33-7,NEC Harlequins,Sixways,2004-2005,33,7,Sat 2 Oct 2004
871,871,Sat 2 Oct,14:15,Bath Rugby,29-14,Gloucester,Recreation Ground,2004-2005,29,14,Sat 2 Oct 2004
872,872,Sat 2 Oct,14:45,Newcastle Falcons,15-44,Leicester Tigers,Kingston Park,2004-2005,15,44,Sat 2 Oct 2004
873,873,Sat 2 Oct,15:00,Northampton Saints,9-10,London Wasps,Franklin's Gardens,2004-2005,9,10,Sat 2 Oct 2004
874,874,Sun 3 Oct,14:30,Leeds Tykes,11-14,Sale Sharks,Headingley Carnegie,2004-2005,11,14,Sun 3 Oct 2004
875,875,Sun 3 Oct,15:00,London Irish,20-3,Saracens,Madejski Stadium,2004-2005,20,3,Sun 3 Oct 2004
876,876,Fri 8 Oct,19:45,Sale Sharks,16-17,London Irish,Edgeley Park,2004-2005,16,17,Fri 8 Oct 2004
877,877,Sat 9 Oct,14:45,Leicester Tigers,16-16,Bath Rugby,Welford Road,2004-2005,16,16,Sat 9 Oct 2004
878,878,Sat 9 Oct,15:00,Gloucester,29-23,NEC Harlequins,Kingsholm,2004-2005,29,23,Sat 9 Oct 2004
879,879,Sun 10 Oct,15:00,Leeds Tykes,24-19,Worcester Warriors,Headingley Carnegie,2004-2005,24,19,Sun 10 Oct 2004
880,880,Sun 10 Oct,15:00,London Wasps,43-29,Newcastle Falcons,Adams Park,2004-2005,43,29,Sun 10 Oct 2004
881,881,Sun 10 Oct,15:00,Saracens,23-12,Northampton Saints,Vicarage Road,2004-2005,23,12,Sun 10 Oct 2004
882,882,Sat 16 Oct,14:00,Worcester Warriors,13-18,Gloucester,Sixways,2004-2005,13,18,Sat 16 Oct 2004
883,883,Sat 16 Oct,14:45,Bath Rugby,16-19,London Wasps,Recreation Ground,2004-2005,16,19,Sat 16 Oct 2004
884,884,Sat 16 Oct,15:00,London Irish,12-16,Leeds Tykes,Madejski Stadium,2004-2005,12,16,Sat 16 Oct 2004
885,885,Sat 16 Oct,15:00,NEC Harlequins,9-15,Leicester Tigers,Twickenham Stoop,2004-2005,9,15,Sat 16 Oct 2004
886,886,Sat 16 Oct,15:00,Northampton Saints,6-23,Sale Sharks,Franklin's Gardens,2004-2005,6,23,Sat 16 Oct 2004
887,887,Sun 17 Oct,15:00,Newcastle Falcons,20-20,Saracens,Kingston Park,2004-2005,20,20,Sun 17 Oct 2004
888,888,Fri 5 Nov,19:45,Sale Sharks,39-25,Newcastle Falcons,Edgeley Park,2004-2005,39,25,Fri 5 Nov 2004
889,889,Fri 5 Nov,20:00,Leeds Tykes,26-21,Northampton Saints,Headingley Carnegie,2004-2005,26,21,Fri 5 Nov 2004
890,890,Fri 5 Nov,20:00,London Wasps,19-16,NEC Harlequins,Adams Park,2004-2005,19,16,Fri 5 Nov 2004
891,891,Sat 6 Nov,14:45,Leicester Tigers,28-13,Gloucester,Welford Road,2004-2005,28,13,Sat 6 Nov 2004
892,892,Sat 6 Nov,15:00,Saracens,30-37,Bath Rugby,Franklin's Gardens,2004-2005,30,37,Sat 6 Nov 2004
893,893,Sun 7 Nov,15:00,London Irish,25-15,Worcester Warriors,Madejski Stadium,2004-2005,25,15,Sun 7 Nov 2004
894,894,Fri 12 Nov,19:45,Gloucester,17-27,London Wasps,Kingsholm,2004-2005,17,27,Fri 12 Nov 2004
895,895,Fri 12 Nov,19:45,NEC Harlequins,40-10,Saracens,Twickenham Stoop,2004-2005,40,10,Fri 12 Nov 2004
896,896,Sat 13 Nov,12:30,Bath Rugby,27-13,Sale Sharks,Recreation Ground,2004-2005,27,13,Sat 13 Nov 2004
897,897,Sat 13 Nov,12:30,Northampton Saints,20-21,London Irish,Franklin's Gardens,2004-2005,20,21,Sat 13 Nov 2004
898,898,Sat 13 Nov,12:30,Worcester Warriors,11-38,Leicester Tigers,Sixways,2004-2005,11,38,Sat 13 Nov 2004
899,899,Sun 14 Nov,14:30,Newcastle Falcons,29-16,Leeds Tykes,Kingston Park,2004-2005,29,16,Sun 14 Nov 2004
900,900,Fri 19 Nov,19:45,Leeds Tykes,28-30,Bath Rugby,Headingley Carnegie,2004-2005,28,30,Fri 19 Nov 2004
901,901,Fri 19 Nov,19:45,Sale Sharks,13-19,NEC Harlequins,Edgeley Park,2004-2005,13,19,Fri 19 Nov 2004
902,902,Sat 20 Nov,12:30,Northampton Saints,6-17,Worcester Warriors,Franklin's Gardens,2004-2005,6,17,Sat 20 Nov 2004
903,903,Sun 21 Nov,15:00,London Irish,21-15,Newcastle Falcons,Madejski Stadium,2004-2005,21,15,Sun 21 Nov 2004
904,904,Sun 21 Nov,15:00,London Wasps,17-17,Leicester Tigers,Adams Park,2004-2005,17,17,Sun 21 Nov 2004
905,905,Sun 21 Nov,15:00,Saracens,14-9,Gloucester,Vicarage Road,2004-2005,14,9,Sun 21 Nov 2004
906,906,Fri 26 Nov,19:30,Gloucester,24-14,Sale Sharks,Kingsholm,2004-2005,24,14,Fri 26 Nov 2004
907,907,Fri 26 Nov,20:00,Worcester Warriors,27-24,London Wasps,Sixways,2004-2005,27,24,Fri 26 Nov 2004
908,908,Sat 27 Nov,14:45,Leicester Tigers,21-9,Saracens,Welford Road,2004-2005,21,9,Sat 27 Nov 2004
909,909,Sun 28 Nov,14:15,Bath Rugby,27-15,London Irish,Recreation Ground,2004-2005,27,15,Sun 28 Nov 2004
910,910,Sun 28 Nov,14:30,Newcastle Falcons,27-16,Northampton Saints,Kingston Park,2004-2005,27,16,Sun 28 Nov 2004
911,911,Sun 28 Nov,15:00,NEC Harlequins,31-17,Leeds Tykes,Twickenham Stoop,2004-2005,31,17,Sun 28 Nov 2004
912,912,Sun 26 Dec,15:00,Saracens,8-8,NEC Harlequins,Vicarage Road,2004-2005,8,8,Sun 26 Dec 2004
913,913,Mon 27 Dec,14:30,Leeds Tykes,11-15,Newcastle Falcons,Headingley Carnegie,2004-2005,11,15,Mon 27 Dec 2004
914,914,Mon 27 Dec,15:00,Leicester Tigers,50-7,Worcester Warriors,Welford Road,2004-2005,50,7,Mon 27 Dec 2004
915,915,Mon 27 Dec,15:00,London Irish,21-22,Northampton Saints,Madejski Stadium,2004-2005,21,22,Mon 27 Dec 2004
